#
# This is the translation file for converting NRCS RUSLE2 "skeleton" files to WEPS files. The entries are
# consulted when a RUSLE2 operation or crop is not found in the WEPS databases when the skeleton files are being imported.
# There are 3 columns seperated by pipe| characters.
#
#     Column 1 - The RUSLE2 name of an operation or crop
#
#     Column 2 - What to do when it is encountered, currently the 3 options are:
#                             rename - change name of operation or crop to match a WEPS value 
#                             delete - if name is an operation it removes the entire line
#                                      if name is a crop it deletes only the crop portion of entry
#                renameAndDeleteCrop - changes name of operation, if a crop is part of the entry the crop field is cleared.
#Hmm, looks like we need a "renameAndAddCrop" option also - LEW
#
#     Column 3 - The WEPS name to be used.
#                If column 1 is a crop name and column 2 is set to "rename", then "none" specified in column 3
#                will clear the crop field
# Lines in the file that start with a # are considered comment lines. 
#
# January 7, 2005 - jrf
#
#
# Notes from Jim's email message to me on Jan 7, 2005 - LEW
#
# In the rusle2 translation file if the rusle2 name maps to a vegetation then a 'delete' will delete that vegetation entry from
# any weps records, it will still leave the operation - just the crop column will be empty. The same applies if the action is
# 'rename|none' and the rusle2 name is a vegetation - the weps crop column becomes empty.
#
# There is a new action you can put in the rusle2 translation file: 'renameAndDeleteCrop' which applies an operation rename and
# then blanks the crop entry if one is present with this operation.
#
# For manually doing crop removals the first entry in the crop dropdown list is now blank which effectively clears the crop
# field if this is selected. When the data is converted to a weps management file these crop entries are not included. 
#
#-----------------------
# Example line that would remove the RUSLE2 operation from the generated WEPS man file (based upon a RUSLE2 operation name)
#Harvest, hay, legume|delete|none
#
#Based upon Jim's documentation, the following two lines perform the same function at this time.
# Example line that would remove only the RUSLE2 crop from the generated WEPS man file (based upon a RUSLE2 crop name)
#Alfalfa, yr4 regrowth after cutting|delete|none
# Example line that would remove only the RUSLE2 crop from the generated WEPS man file (based upon a RUSLE2 crop name)
#Alfalfa, yr4 regrowth after cutting|rename|none
#
# Example line that would rename the operation and remove a crop entry if it exists
#Harvest, hay, legume|RenameAndDeleteCrop|Harvest/Harvest (cut and remove whole plant above cut height)
#-----------------------
# CMZ 20
#
# Note that this one was used as a planting record (not a good thing for RUSLE2 to do with a "re-growth" record)
#
#
# Can't add "manure" crop with this substitution
#Manure spreader, solid and semi-solid|rename|Other/Add Crop Residue
#
#
Bahiagrass, yr2+ regrowth|delete|none
Barley, annual winter vineyard cover, CA|rename|Small grain, annual cover
Barley, annual winter vineyard cover, CA, 3 mowings|rename|Small grain, annual cover
Barley, spring|rename|Barley, spring
Barley, spring, CMZ 10, 10 in. spac.|rename|Barley, spring, CMZ 10, 10 in. spac
Barley, spring, CMZ 47, 7 in. spac.|rename|Barley, spring, CMZ 47, 7 in. spac
Barley, spring, CMZ 50, 7 in. spac.|rename|Barley, spring, CMZ 50, 7 in. spac
Barley, spring, hay|rename|Barley, spring, hay
Barley, winter|rename|Barley, winter
Barley, winter, CMZ 10, 10 in. spac.|rename|Barley, winter, CMZ 10, 10 in. spac
Barley, winter, CMZ 47, 7 in. spac.|rename|Barley, winter, CMZ 47, 7 in. spac
Barley, winter, hay|rename|Barley, winter forage
Bean, field 30in rows|rename|Bean, field, dry
Bean, field 7in rows|rename|Bean, field, dry
Bean, green snap mech harv|rename|Bean, green snap mech harv
Bean, green snap mech harv HI PROD|rename|Bean, green snap mech harv
Bean, lima|rename|Bean, lima
Bean, lima processing|rename|Beans, lima processing
Bean, pinto|rename|Bean, field, dry
Beans, garbonzo|rename|Beans, garbonzo
Bluestem, old world, established,  regrowth after grazing or hay|rename|Bluestem, old world
Bluestem, old world, established, senesc thru spring regrowth|rename|Bluestem, old world
Brassica pasture, forage turnip|rename|Brassicas, forage
Brassica, winter cover crop,  forage turnip|rename|Brassicas, forage
Brocolli, fall|rename|Broccoli
Brocolli, HI PROD|rename|Broccoli
Brocolli, spring|rename|Broccoli
Bromegrass, fall seed senes to yr2 regrowth|rename|Bromegrass
Bromegrass, hay, yr2 overwinter to yr3 regrowth after fall aftermath removal|delete|none
Bromegrass, hay, yr2 regrowth after cut|delete|none
Bromegrass, hay, yr2 senes to yr3 regrowth|delete|none
Bromegrass, hay, yr3 plus, overwinter to yr4 plus, regrowth after fall aftermath removal|delete|none
Bromegrass, hay, yr3 regrowth after cut|delete|none
Bromegrass, hay, yr3 senes to yr4 regrowth|delete|none
Bromegrass, spring seed 1st yr|rename|Bromegrass
Buckwheat|rename|Buckwheat
Cabbage|rename|Cabbage
Cabbage, for kraut|rename|Cabbage
Cabbage, HI PROD|rename|Cabbage
Camelina|rename|Camelina
Canola, spring|rename|Canola, spring
Canola, winter|rename|Canola, winter
Cantaloupe|rename|Cantaloupe, Muskmelon, Honeydew
Cantaloupe, HI PROD|rename|Cantaloupe, Muskmelon, Honeydew
Carrot, fresh market|rename|Carrot, fresh market
Carrot, processing|rename|Carrot, processing
Carrot, processing after small grain cover|rename|Carrot, processing
Cauliflower|rename|Cauliflower
Cauliflower, HI PROD|rename|Cauliflower
Celery|rename|Celery
Celery, HI PROD|rename|Celery
Chickpea|rename|Chickpea
Clover white seed; estb regrowth to seed harv.|delete|none
Clover white seed; fall plant sens. to 2yr. hay or graze|delete|none
Clover white seed; fall planted|rename|Clover, alsike, seed
Clover, annual|rename|Clover, alsike
Clover, annual, seed|rename|Clover, alsike, seed
Clover, red  spring seed|rename|Clover, red
Clover, red /oat nurse crop spring seed|rename|Oats, spring
Clover, red late summer seed senes to yr2 regrowth|rename|Clover, red
Clover, red y1 regrowth after cut|delete|none
Clover, red y1 regrowth after small grain havest|delete|none
Clover, red y1 senesc to y2 regrow|delete|none
Clover, red y2 regrow after cut|delete|none
Clover, red, NW spr seed, harv seed|rename|Clover, red, seed
Clover, red, NW spr seed, senes to yr2 regrowth|delete|none
Clover, red, NW yr2 regrowth to seed harv|delete|none
Clover, red, y2 senesc to yr3 regrowth|delete|none
Clover, red, y3 regrow after cut|delete|none
Clover, red, y3 senesc to spring greenup|delete|none
Clover, red/timothy, fall seed senes to yr2 regrowth|rename|Clover, red, seed
Clover, red/timothy, spring seed|rename|Clover, red, seed
Clover, red/timothy, spring seed regrowth after cut|delete|none
Clover, red/timothy, spring seed senes to y2 regrowth|delete|none
Clover, red/timothy, y2 regrow after cut|delete|none
Clover, red/timothy, y2 senesc to yr3 regrowth|delete|none
Clover, red/timothy/oat nurse crop spring seed|rename|Clover, red, seed
Clover, sweet, for seed or green manure|rename|Clover, sweet
Clover, sweet, spring seed|rename|Clover, sweet
Clover, sweet, spring seed regrowth after cutting|delete|none
Clover, sweet, spring seed senes to y2 regrowth|delete|none
Clover, sweet, yr2 regrowth after cutting|delete|none
Clover, sweet, yr2 senescence and death|delete|none
Collard greens, HI PROD|rename|Collard, greens
Collard, greens|rename|Collard, greens
Corn, grain |rename|Corn, grain
Corn, grain|rename|Corn, grain
Corn, grain  18 in rows|rename|Corn, grain
Corn, grain with grass weeds|rename|Corn, grain
Corn, grain with interseed Rye cover|rename|Corn, grain
Corn, grain, 38 in rows|rename|Corn, grain
Corn, pop|rename|Corn, pop
Corn, seed|rename|Corn, seed
Corn, silage|rename|Corn, silage
Corn, silage  18 in rows|rename|Corn, silage
Corn, silage 18 in. rows with interseed Rye cover|rename|Corn, silage
Corn, silage and grass cover|rename|Corn, silage
Corn, silage and legume cover|rename|Corn, silage
Corn, silage with grass weeds|rename|Corn, silage
Corn, silage with interseed Rye cover|rename|Corn, silage
Corn, sweet|rename|Corn, sweet
Corn, sweet HI PROD|rename|Corn, sweet
Corn, with interseed Rye cover|rename|Corn, grain
Cotton, CA Hi Prod.|rename|Cotton, CA Hi Prod
Cotton, delta|rename|Cotton, delta
Cotton, southern upland|rename|Cotton, southern upland
Cotton, stripper|rename|Cotton, stripper
Cotton, stripper skip 1 row|rename|Cotton, stripper skip 1 row
Cotton, stripper skip 2 rows|rename|Cotton, stripper skip 2 rows
Cotton, ultra narrow row|rename|Cotton, ultra narrow row
Cow pea|rename|Bean, field, dry
Cucumber|rename|Cucumber
Cucumber, HI PROD|rename|Cucumber
Delayed germination|delete|none
Eggplant|rename|Eggplant
Eggplant, HI PROD|rename|Eggplant
Flax|rename|Flax
Flax (lbs)|rename|Flax
Garlic seed production|rename|Garlic seed production
Grama, yr 1|rename|Grama, sideoats
Grama, yr 2|delete|none
Grama, yr 3+|delete|none
Grass seed, established, senescence|delete|none
Grass seed, fall seeding|rename|Grass seed, cool season
Grass seed, interseeded growing crop|rename|Grass seed, cool season, released growing crop
Grass seed, per. ryegrass fall plant late|rename|Grass seed, cool season
Grass seed, per. ryegrass late plant, established, senescence|rename|Grass seed, cool season
Grass seed, spring seeded|rename|Grass seed, cool season
Grass seed, warm season, late summer seeding|rename|Grass seed, warm season
Grass seed, warm season, spring seeding|rename|Grass seed, warm season
Grass seed, warm season, y2 senesc to yr3 seed harvest|delete|none
Grass seed, warm season, yr3+ , senesc to next seed harvest|delete|none
Grass seed, y2 and later regrowth to seed harvest|delete|none
Grass seed, yr2 senescence|delete|none
Grass, cool season pasture, regrowth after grazing|delete|none
Grass, cool season pasture, senesc to regrowth|delete|none
Grass, cool season pasture, slow regrowth after grazing|delete|none
Grass, cool season, fall seed senes to yr2 regrowth SE|rename|Grass, cool season, forage
Grass, cool season, fall seeded|rename|Grass, cool season, forage
Grass, cool season, spring seeded|rename|Grass, cool season, forage
Grass, cool season, y2+ senesc thru  yr3 + greenup SE|delete|none
Grass, dense,  senesc to 1st cut|delete|none
Grass, dense, regrowth after cut|delete|none
Grass, warm season pasture yr2, regrowth after grazing|delete|none
Grass, warm season pasture, spring seeded|rename|Grass, warm season, forage
Grass, warm season pasture, y2 senesc to yr3 regrowth|delete|none
Grass, warm season pasture, yr3+ , senesc to regrowth|delete|none
Grass, warm season pasture, yr3+,  regrowth after grazing|delete|none
Grass, warm season pasture, yr3+,  slow regrowth after grazing|delete|none
Greens, baby leaf HI PROD|rename|Lettuce, leaf
Horseradish|rename|Horseradish
Lentils|rename|Lentils
Lentils, fall|rename|Lentils
Lettuce, head|rename|Lettuce, head
Lettuce, head HI PROD|rename|Lettuce, head
Lettuce, leaf|rename|Lettuce, leaf
Lettuce, leaf HI PROD|rename|Lettuce, leaf
Millet, proso|rename|Millet, proso
Mint, fall seed|rename|Mint
Mint, spring seed|rename|Mint
Mint, spring seed regrowth after cutting|delete|none
Mint, spring seed senes to y2 regrowth|delete|none
Mint, yr2 regrowth after cutting|delete|none
Mint, yr2 senes to yr3 regrowth|delete|none
Mint, yr3 regrowth after cutting|delete|none
Mint, yr3 senes to yr4 regrowth|delete|none
Mint, yr4 regrowth after cutting|delete|none
Mint, yr4 senes to yr5 regrowth|delete|none
Muskmelon|rename|Cantaloupe, Muskmelon, Honeydew
Mustard greens, fall|rename|Mustard, greens
Mustard greens, HI PROD|rename|Mustard, greens
Mustard greens, spring|rename|Mustard, greens
Mustard seed, spring|rename|Mustard seed, spring
Mustard|rename|Mustard seed, spring
Oat forage, fall seed to 1st cut or graze, deep south|rename|Oats, fall seeded, forage
Oat forage, regrowth, deep south|delete|none
Oats, fall seeded cover|rename|Oats, fall seeded cover
Oats, fall seeded, hay|rename|Oats, fall seeded, forage
Oats, hay regrowth after cut|delete|none
Oats, spring|rename|Oats, spring
Oats, spring hay|rename|Oats, spring hay
Oats, spring silage|rename|Oats, spring silage
Oats, spring silage/hay|rename|Oats, spring silage
Oats, winter cover crop S.E.|rename|Oats, fall seeded cover
Oats, winter S.E.|rename|Oats, winter S.E
Onion seed production|rename|Onion seed production
Onion, after sm grain|rename|Onion, growing after covercrop kill
Onion, bulb dry|rename|Onion, bulb dry
Onion, bulb dry HI PROD|rename|Onion, bulb dry
Onion, dry bulb, Vidalia-type|rename|Onion, bulb dry
Onion, green bunch|rename|Onion, green bunch
Orchardgrass, fall seed senes to yr2 regrowth|rename|Grass, cool season, forage
Orchardgrass, seeding|rename|Grass, cool season, forage
Orchardgrass, y2 regrowth after cut|delete|none
Orchardgrass, y2 senesc to 1st cut yr3|delete|none
Orchardgrass, y3 regrowth after cut|delete|none
Orchardgrass, y3 senesc to 1st cut yr4|delete|none
Peanut, runner|rename|Peanut, runner
Peanut, runner, twin-row|rename|Peanut, runner
Peas, Austrian winter|rename|Peas, Austrian winter
Peas, Austrian winter, northern climate|rename|Peas, Austrian winter
Peas, field 7in rows|rename|Peas, field, dry
Peas, green HI PROD|rename|Peas, green
Peas, green, drilled|rename|Peas, green
Peas, green, rows|rename|Peas, green
Peas, southern|rename|Peas, field, dry
Peas, spring, grazed out|rename|Peas, forage
Peas, spring, hay|rename|Peas, forage
Peas, spring, NWRR|rename|Peas, field, dry
Peppers, bell|rename|Peppers, bell
Peppers, bell HI PROD|rename|Peppers, bell
Peppers, chili HI PROD|rename|Peppers, chili, green
Peppers, hot|rename|Peppers, chili, red
Potato, high yield|rename|Potato, late, harvest
Potato, Irish|rename|Potato, late, harvest
Potato, seed production|rename|Potato, seed
Potato, sweet|rename|Potato, sweet
Pumpkin|rename|Pumpkin
Radish|rename|Radish
Radish, HI PROD|rename|Radish
Radish, oilseed|rename|Radish, oilseed
Rice, AR, flooded|rename|Rice, tall
Rice, CA, flooded, semi-dwarf varieties|rename|Rice, semi-dwarf
Rice, CA, flooded, tall varieties|rename|Rice, tall
Rice, CA, winter flooded , semi-dwarf varieties|rename|Rice, semi-dwarf
Rice, CA, winter flooded, tall varieties|rename|Rice, tall
Rice, dwarf var. CA|rename|Rice, dwarf
Rice, dwarf var. CA, flooded|rename|Rice, dwarf
Rice, dwarf var. CA, winter flooded|rename|Rice, dwarf
Rice, ratoon crop, AR, flooded|rename|Rice, tall
Rice, wild|rename|Rice, tall
Rye and Hairy vetch, winter cover|rename|Rye, winter cover
Rye, cereal|rename|Rye, cereal
Rye, cereal forage, fall seed to 1st cut or graze, deep south|delete|none
Rye, cereal forage, regrowth, deep south|delete|none
Rye, cereal interseeded growing cover|rename|Rye, cereal interseeded growing cover
Rye, cereal silage|rename|Rye, cereal silage
Rye, spring 7in rows|rename|Rye, spring, 7in row
Rye, winter cover|rename|Rye, winter cover
Rye, winter cover S.E.|rename|Rye, winter grazed S.E
Rye, winter grazed S.E.|rename|Rye, winter grazed S.E
Rye, winter, grain S.E.|rename|Rye, winter, grain S.E
Rye, winter, silage, SE|rename|Rye, winter, silage, SE
Ryegrass, ann, seed prod|rename|Ryegrass, annual, for seed
Ryegrass, ann, seed prod, regrowth|delete|none
Ryegrass, annual, seeding yr|rename|Ryegrass, annual, forage
Ryegrass, annual, fall interseeded in established bermudagrass|rename|Ryegrass, annual, forage
Ryegrass, annual, fall seeding, deep south|rename|Ryegrass, annual, forage
Ryegrass, annual, regrowth|delete|none
Ryegrass, annual, regrowth after grazing or hay, deep south|delete|none
Ryegrass, peren. interseeded growing cover|rename|Ryegrass, annual, forage
Safflower|rename|Safflower
Small grain, spring, hay|rename|Small grain, spring, hay
Small grain, winter, hay|rename|Small grain, winter, hay
Sorghum, forage fall regrowth|delete|none
Sorghum, forage regrowth|delete|none
Sorghum, forage seeding to 1st cut|rename|Sorghum, forage
Sorghum, forage, grazed|rename|Sorghum, forage
Sorghum, grain|rename|Sorghum, grain
Sorghum, grain 18 inch rows|rename|Sorghum, grain
Sorghum, grain South 135day|rename|Sorghum, grain
Sorghum, grain, hi biomass var.|rename|Sorghum, grain
Sorghum, grain, South, shrt seasn hi density|rename|Sorghum, grain
Sorghum, silage|rename|Sorghum, forage
Sorghum, sudangrass, 7in rows regrowth after cut|delete|none
Sorghum, sudangrass, 7in rows, seeding to 1st cut|rename|Sorghum, forage
Soybean, 15 in with interseeded rye cover|rename|Soybean, groups V, VI, VII, and VIII
Soybean, 30 in with interseeded rye cover|rename|Soybean, groups V, VI, VII, and VIII
Soybean, group 0 and I,  30in rows|rename|Soybean, group 0 and I
Soybean, group 0 and I,  7in rows|rename|Soybean, group 0 and I
Soybean, group II, III and IV 30 in rows|rename|Soybean, group II, III and IV
Soybean, group II, III and IV,  7in rows|rename|Soybean, group II, III and IV
Soybean, groups V, VI, VII, and VIII 30 in rows|rename|Soybean, groups V, VI, VII, and VIII
Soybean, groups V, VI, VII, and VIII 7in rows|rename|Soybean, groups V, VI, VII, and VIII
Soybean, millet hay|rename|Soybean, groups V, VI, VII, and VIII
Soybean, mw 15 - 20 in rows|rename|Soybean, group II, III and IV
Soybean, mw 30 in rows|rename|Soybean, group II, III and IV
Soybean, mw 30 in rows, relay cropped|rename|Soybean, group II, III and IV
Soybean, mw 7in rows|rename|Soybean, group II, III and IV
Soybean, southern 15-20 in rows|rename|Soybean, groups V, VI, VII, and VIII
Soybean, southern 30 in rows|rename|Soybean, groups V, VI, VII, and VIII
Soybean, southern 7in rows|rename|Soybean, groups V, VI, VII, and VIII
Spinach|rename|Spinach
Spinach, HI PROD|rename|Spinach
Spinach, regrowth after harv|delete|none
Squash|rename|Squash
Squash, HI PROD|rename|Squash
Strawberry, annual,1st pick Ca and FL|rename|Strawberry
Strawberry, annual,2nd and later pick Ca and FL|delete|none
Strawberry, establishment  yr|rename|Strawberry
Strawberry, high yield , yr2+|delete|none
Strawberry, high yield, yr1|delete|none
Strawberry, yr2+|delete|none
Sugarbeet, seed|rename|Sugarbeet, seed
Sugarbeet, sugar|rename|Sugarbeet, sugar
Sugarcane establishment to 1st harvest|rename|Sugarcane, southern
Sugarcane, 1st ratoon|delete|none
Sugarcane, 2nd ratoon|delete|none
Sugarcane, 3rd ratoon|delete|none
Sugarcane, 4th ratoon|delete|none
Sugarcane, plus weeds, 1st ratoon|delete|none
Sugarcane, plus weeds, 2nd ratoon|delete|none
Sugarcane, plus weeds, 3rd ratoon|delete|none
Sugarcane, plus weeds, 4th ratoon|delete|none
Sugarcane, plus weeds, planting to 1st harvest|rename|Sugarcane, southern
Sunflower|rename|Sunflower
Switchgrass bimass prod, spring seeded|rename|Switchgrass, biomass prod
Switchgrass biomass prod yr1 overwinter, and yr2 regrowth|delete|none
Switchgrass, biomass prod. yr2 overwinter and yr3|delete|none
Tall Fescue / Wheat, winter, grain S.E.|rename|Wheat, winter, grain S.E
Tall Fescue pasture,  senesc to regrowth|delete|none
Tall fescue pasture, regrowth after grazing|delete|none
Tall fescue pasture, regrowth after grazing SE|delete|none
Tall fescue pasture, slow regrowth after grazing|delete|none
Tall Fescue pasture, summer dormancy to fall regrowth South|delete|none
Tall fescue y3+, regrowth after cut|delete|none
Tall Fescue, fall seed senes to yr2 regrowth|rename|Tall Fescue
Tall Fescue, fall seed senes to yr2 regrowth SE|rename|Tall Fescue
Tall fescue, release growth after nurse crop harvest|rename|Tall Fescue, released growing crop
Tall fescue, spring seed 1st year|rename|Tall Fescue
Tall fescue, y2 regrowth after cut|delete|none
Tall fescue, y2 regrowth after cut SE|delete|none
Tall fescue, y2 senesc thru  yr3 greenup|delete|none
Tall fescue, y2+ senesc thru  yr3 + greenup SE|delete|none
Tall fescue, y3 regrowth after cut SE|delete|none
Timothy, fall seed senes to yr2 regrowth|rename|Timothy
Timothy, release growth after nurse crop harvest|rename|Timothy, released growing crop
Timothy, spring seed senesc to yr2 regrowth|rename|Timothy
Timothy, yr2 regrowth after cut|delete|none
Timothy, yr2 senesc to yr3 1st cut|delete|none
Timothy, yr3 regrowth after cuts|delete|none
Timothy, yr3 senesc to yr4 regrowth|delete|none
Tobacco, burley|rename|Tobacco, burley
Tobacco, dark|rename|Tobacco, dark
Tobacco, flue cured|rename|Tobacco, flue cured
Tomatilla, staked|rename|Tomato, fresh mkt
Tomato, fresh mkt|rename|Tomato, fresh mkt
Tomato, fresh mkt staked|rename|Tomato, fresh mkt
Tomato, processing|rename|Tomato, processing
Triticale|rename|Triticale
Triticale, silage|rename|Triticale, silage
Turfgrass established|rename|Turfgrass
Turfgrass established, Northern climate|rename|Turfgrass
Turfgrass, April seeding, thru yr 2, CMZ 04|rename|Turfgrass
Turfgrass, August seed, thru yr 2, CMZ 01|rename|Turfgrass
Turfgrass, August seed, thru yr 2, non irrigated, CMZ 01|rename|Turfgrass
Turfgrass, August seed, thru yr2, CMZ 04|rename|Turfgrass
Turfgrass, August seed, thru yr2, non irrigated, CMZ 04|rename|Turfgrass
Turfgrass, bermuda spring seed|rename|Turfgrass
Turfgrass, December dormant seed, thru yr 2, CMZ 01|rename|Turfgrass
Turfgrass, December dormant seed, thru yr 2, CMZ 04|rename|Turfgrass
Turfgrass, fall seed|rename|Turfgrass
Turfgrass, February dormant seed, thru yr 2, CMZ 01|rename|Turfgrass
Turfgrass, February dormant seed, thru yr 2, CMZ 04|rename|Turfgrass
Turfgrass, January dormant seed, thru yr 2, CMZ 01|rename|Turfgrass
Turfgrass, January dormant seed, thru yr 2, CMZ 04|rename|Turfgrass
Turfgrass, July seed, thru yr 2, CMZ 01|rename|Turfgrass
Turfgrass, July seed, thru yr 2, CMZ 04|rename|Turfgrass
Turfgrass, July seed, thru yr 2, Nonirrigated CMZ 01|rename|Turfgrass
Turfgrass, July seed, thru yr 2, Nonirrigated CMZ 04|rename|Turfgrass
Turfgrass, June seed, thru yr 2, CMZ 01|rename|Turfgrass
Turfgrass, June seed, thru yr 2, CMZ 04|rename|Turfgrass
Turfgrass, March dormant seed, thru yr 2, CMZ 01|rename|Turfgrass
Turfgrass, March dormant seed, thru yr 2, CMZ 04|rename|Turfgrass
Turfgrass, May seed, thru yr 2, CMZ 01|rename|Turfgrass
Turfgrass, May seeding, thru yr 2, CMZ 04|rename|Turfgrass
Turfgrass, November dormant seed, thru yr 2, CMZ 01|rename|Turfgrass
Turfgrass, November dormant seed, thru yr 2, CMZ 04|rename|Turfgrass
Turfgrass, September seed, thru yr 2, CMZ 01|rename|Turfgrass
Turfgrass, September seed, thru yr 2, CMZ 04|rename|Turfgrass
Turfgrass, spring seed|rename|Turfgrass
Vetch, hairy|rename|Vetch, hairy
Vetch, hairy, deep south|rename|Vetch, hairy
Watermelon|rename|Watermelon
Watermelon, HI PROD|rename|Watermelon
Weeds, 12+ months|rename|Weeds, 12+ months
